Nitrogen metabolism,Taurine and hypotaurine metabolism,"Valine, leucine and isoleucine degradation",Methane metabolism,Glycosaminoglycan degradation,Biosynthesis of type II polyketide products,Biosynthesis of various other secondary metabolites,"Valine, leucine and isoleucine biosynthesis",Glycolysis / Gluconeogenesis,alpha-Linolenic acid metabolism,Lysine biosynthesis,2-Oxocarboxylic acid metabolism,Phenazine biosynthesis,"Glycine, serine and threonine metabolism",Citrate cycle (TCA cycle),Degradation of aromatic compounds,Phenylalanine metabolism,Thiamine metabolism,Pyruvate metabolism,Biosynthesis of secondary metabolites,Lysine degradation,Biosynthesis of amino acids,Pantothenate and CoA biosynthesis,Streptomycin biosynthesis,Polyketide sugar unit biosynthesis,Carbon fixation in photosynthetic organisms,O-Antigen nucleotide sugar biosynthesis,Primary bile acid biosynthesis,Glutathione metabolism,Carbon fixation pathways in prokaryotes,Lipopolysaccharide biosynthesis,Butanoate metabolism,C5-Branched dibasic acid metabolism,Carotenoid biosynthesis,Carbon metabolism,Mannose type O-glycan biosynthesis,Galactose metabolism,Cysteine and methionine metabolism,Phenylpropanoid biosynthesis,"Phenylalanine, tyrosine and tryptophan biosynthesis",Microbial metabolism in diverse environments,Glycerophospholipid metabolism,Ubiquinone and other terpenoid-quinone biosynthesis,Porphyrin metabolism,Nicotinate and nicotinamide metabolism,Tyrosine metabolism,Arginine biosynthesis,Glyoxylate and dicarboxylate metabolism,Biosynthesis of nucleotide sugars,Pentose phosphate pathway,Arginine and proline metabolism,Sphingolipid metabolism,D-Amino acid metabolism,Inositol phosphate metabolism,Fatty acid metabolism,Fatty acid degradation,Fatty acid biosynthesis,Biosynthesis of cofactors,Pyrimidine metabolism,Nucleotide metabolism,Oxidative phosphorylation,Tryptophan metabolism,Amino sugar and nucleotide sugar metabolism,One carbon pool by folate,Riboflavin metabolism,Terpenoid backbone biosynthesis,Ascorbate and aldarate metabolism,Glycerolipid metabolism,Biotin metabolism,Fructose and mannose metabolism,Fatty acid elongation,Lipoic acid metabolism,Folate biosynthesis,Pentose and glucuronate interconversions,Vitamin B6 metabolism,Starch and sucrose metabolism,Purine metabolism,"Alanine, aspartate and glutamate metabolism",Sulfur metabolism,Xylene degradation,Benzoate degradation,Biosynthesis of various antibiotics,Histidine metabolism,Propanoate metabolism,beta-Alanine metabolism,Metabolic pathways,class
3268.49,1061.934,1698.368,10180.073,1135.031,4.386,211.018,11268.882,20847.329,60.771,11752.488,10210.133,27.43,4240.487,19382.25,858.24,560.952,5673.86,5685.466,47295.83,558.279,57918.332,9930.913,1138.871,1138.871,15063.398,1173.741,0.0,194.587,20120.795,3944.638,399.157,1251.733,32.2,87630.074,261.222,3715.823,8631.653,339.609,8866.957,64727.979,1124.987,2436.874,11704.865,2534.238,530.71,2577.638,5244.683,8290.104,15116.541,1104.126,38.865,84.562,64.542,22109.79,1613.779,20139.935,75035.353,9073.316,10659.401,7126.689,1119.64,5622.022,9435.691,6396.582,4830.908,2077.666,620.901,5979.772,815.229,488.961,1358.475,22515.284,830.151,688.628,4744.825,10480.723,1510.53,1310.844,498.319,502.195,706.373,1979.24,722.137,151.99,288611.993,Healthy
16151.177,3693.054,6643.898,35730.664,2945.959,1.921,500.108,39023.355,57315.155,10.128,33842.55,34489.444,9.626,11978.623,57350.08,1938.082,1289.965,15338.402,18782.03,138382.109,1811.281,175260.341,30789.134,3076.298,3076.298,44115.191,3082.208,0.0,324.637,66360.297,9930.833,860.233,5152.879,12.924,270272.044,706.844,9834.16,25144.459,838.19,29007.995,207949.273,3114.36,6866.942,31184.186,5768.715,1435.257,6901.58,16880.141,22439.505,44008.107,3533.893,113.477,219.919,75.288,56521.313,3072.111,53043.008,210915.035,28575.502,33612.316,18772.471,2627.192,15460.923,27615.07,17175.512,13561.553,5770.895,1484.531,15347.406,1787.222,890.024,3020.584,68059.38,2433.942,1821.041,12648.267,31390.012,3486.243,2717.022,1091.307,1092.599,1846.389,4818.296,3129.972,286.164,846316.263,Healthy
13353.268,4009.26,6332.492,35537.556,4810.258,19.343,648.62,41779.141,75809.098,106.407,42888.72,37191.318,130.848,14992.594,71427.651,2396.172,1601.222,18498.742,23033.331,170496.004,2095.114,208729.944,38344.731,5054.782,5054.782,57235.038,5542.811,1.684,467.439,77691.104,12347.605,1214.47,4837.526,92.87,323280.712,1003.705,13849.763,31427.905,1016.692,32382.101,239129.337,3594.507,9527.923,39255.286,9485.403,2232.37,8146.441,18779.578,30001.581,54980.454,3860.477,123.066,327.619,174.046,76430.957,4892.606,70786.981,258761.559,33531.333,38231.216,32294.446,4136.158,20014.732,32629.51,22666.656,16680.664,6836.2,1787.091,19200.028,3040.529,1327.8,4750.61,72991.833,3414.407,2699.587,17539.694,38347.271,5135.705,4796.236,1355.904,1356.725,2269.718,7388.989,2566.876,514.3,1034602.52,Healthy
10158.669,2934.501,4657.966,25219.443,2714.384,0.961,900.025,30072.66,49730.289,116.508,30971.268,27936.711,83.98,10851.779,51890.018,1938.467,1249.995,14445.951,16382.403,125200.988,1911.213,151423.208,25683.265,3115.817,3115.817,37044.006,3216.014,3.384,472.647,53661.155,10556.652,882.894,3877.448,292.996,223742.579,616.813,8808.228,21202.25,763.443,25112.2,163095.565,2963.931,6850.954,27450.095,6266.219,1580.901,7618.142,14319.967,21077.395,35638.985,2826.987,90.264,160.886,376.698,58163.89,3862.301,53884.819,183417.087,22707.956,25420.212,24178.704,2716.086,13586.567,23353.173,14438.786,13544.82,3711.116,1397.254,15784.385,1642.639,1011.878,3812.451,51806.141,2151.14,2427.892,10698.402,25229.913,3714.036,3410.793,1086.998,1093.458,1992.457,5477.309,1752.272,329.911,733062.974,Healthy
8079.759,1984.706,3099.064,13227.665,687.793,0.0,677.882,22023.995,27462.892,2.544,14955.402,19882.093,37.658,5377.909,32163.541,764.655,445.371,6362.877,8940.066,74087.47,975.605,89248.055,15820.5,2157.403,2157.403,17644.391,2162.557,0.0,324.631,28075.368,2316.374,622.789,2764.077,2.26,119300.424,327.505,4490.12,11167.4,351.555,15592.524,84680.043,1304.765,4288.102,12488.51,3241.338,1060.187,4992.714,6782.072,10575.023,18865.627,1459.252,77.516,35.262,103.8,27995.483,835.649,27646.278,94669.465,12741.328,13878.297,8776.804,1585.625,7446.857,13010.392,7519.26,8883.019,2378.764,897.862,5928.079,1270.46,78.022,2909.141,28627.349,913.082,1218.666,5639.962,14220.522,2153.882,1365.783,403.756,407.04,743.068,2576.385,686.944,89.82,391860.74,Healthy
13630.836,3349.031,5702.298,27256.571,2567.316,15.351,896.599,32251.763,59057.147,53.253,32274.539,29230.668,106.889,12354.574,59680.914,2076.352,1331.101,16570.112,18253.899,134258.797,2151.496,159345.446,29355.817,3866.82,3866.82,42521.786,3906.69,0.0,485.934,59563.716,9681.319,1004.511,4083.522,165.352,249117.998,806.163,9659.475,22837.069,684.398,24943.079,183574.123,3228.99,7859.108,31353.329,7086.952,1706.121,6177.28,13645.875,22219.097,39975.007,2540.599,123.407,337.767,286.807,58578.237,5247.847,53180.791,204219.139,24180.948,27966.439,25197.912,3151.817,14745.2,25575.273,17606.39,14445.089,4769.48,1571.571,14308.183,2141.688,1030.417,5586.455,57253.089,2373.185,2334.526,11153.517,28335.81,3618.226,3407.137,1222.918,1222.918,1645.241,4626.903,1914.728,503.324,800465.441,Healthy
10167.711,3322.625,6283.39,29039.032,3783.284,2.193,1215.565,32091.9,65174.258,113.949,34060.407,29071.32,141.44,12552.044,63626.055,2505.549,1833.328,20197.624,20237.151,147677.532,2469.433,168480.049,31006.635,3964.36,3973.432,46808.479,4029.276,0.0,429.976,65914.623,13018.43,1158.26,3829.757,292.822,276627.179,860.358,11658.508,25007.295,871.711,27652.56,199845.453,3566.372,8243.916,36286.495,8108.262,1690.833,6694.594,15588.14,25842.857,46892.028,2740.073,75.633,310.623,382.643,71822.983,7328.529,63959.602,232659.779,26945.21,29907.773,28444.782,3414.373,17253.466,28111.675,20484.606,16839.866,4785.911,1762.967,18356.794,2271.759,1444.31,5393.849,63236.117,2537.11,3029.28,13610.01,30526.569,3972.491,3661.115,1415.563,1415.563,2301.507,5269.942,2176.674,645.9,894513.453,Healthy
13612.673,3966.517,8368.787,33097.32,4322.581,179.628,1653.032,39469.539,81468.321,98.748,41177.919,36407.119,147.058,15146.567,80938.503,2981.163,2101.64,23339.674,25251.486,181204.917,3576.577,204603.083,36658.254,4787.171,4787.171,57214.476,4958.353,3.368,714.346,75903.777,16467.257,1143.064,5063.354,441.159,334624.428,914.712,14051.858,30357.132,1111.132,31815.519,238053.162,5349.769,10417.555,52473.527,9041.979,2110.48,8879.691,19770.085,32987.433,56268.848,3552.303,279.197,600.386,604.844,90008.221,9061.192,80160.902,286563.89,31528.045,36791.113,37143.336,3885.274,21786.507,33004.769,24707.662,20489.964,5080.11,2232.117,23114.216,2737.386,1950.032,6531.792,75003.492,2687.947,3772.649,14897.46,37752.903,4807.691,4575.014,1808.24,1809.532,2728.076,5579.164,2737.154,854.207,1093688.408,Healthy
21263.57,5171.458,9155.631,47442.905,4870.71,6.185,1490.216,53395.126,96015.299,81.129,54872.399,50139.482,213.887,19191.622,100438.055,2643.958,2143.099,28971.251,30341.994,230928.823,3087.022,271937.304,46764.804,6844.023,6844.023,71338.185,7091.943,6.768,665.2,106126.557,16975.645,1697.035,6897.97,363.227,428904.238,1337.878,15315.634,40049.223,1247.809,42573.108,315789.098,4529.525,14058.131,57483.948,12465.204,3214.863,13042.079,26532.727,39941.337,68390.183,5050.125,213.722,398.957,300.112,100877.799,8885.405,90853.514,354716.304,44804.007,50898.693,44310.866,5332.398,26935.862,43570.461,30261.73,24578.747,9115.336,3059.163,23952.889,4505.617,2267.513,8224.015,99324.722,4287.232,4079.545,21119.76,50534.063,7377.453,5813.863,1393.455,1399.673,2590.257,10913.94,3810.354,895.724,1381400.428,Healthy
11759.485,2689.457,5013.282,23412.005,2469.221,0.0,476.398,27412.474,43389.351,5.064,26493.802,24008.787,28.97,9233.274,46567.066,1190.703,828.503,10560.547,14044.736,103302.959,1420.294,126972.174,22175.018,2878.578,2878.578,30243.631,2906.756,0.0,458.366,48896.741,7027.772,708.029,3475.187,11.97,194970.188,501.482,7321.383,17910.053,529.463,20772.933,144427.501,2443.311,6774.763,20770.249,4802.143,1292.553,4443.433,10915.926,16496.849,30515.928,1700.792,88.247,97.097,238.438,44654.16,1713.451,43372.635,147996.679,19666.209,22039.599,18730.732,2181.694,11022.545,19582.607,11392.69,9918.678,3685.363,1319.869,10463.906,1872.063,234.962,4340.53,44257.24,1502.846,1604.668,8748.197,20293.468,2497.107,2188.71,634.887,634.887,1151.205,3062.804,1593.905,147.268,610128.641,Healthy
13728.991,3902.651,7253.984,34657.528,4029.199,175.859,1336.454,40476.928,76836.606,200.013,46360.625,37507.377,83.229,17299.33,88103.335,2161.363,1533.431,25655.177,26643.854,195774.539,3156.926,218541.391,39962.666,5112.887,5112.887,55891.092,5385.339,37.038,775.87,94389.963,20112.589,1289.301,4501.804,759.538,360461.327,1034.515,13305.767,33011.15,901.282,36076.679,258657.607,5549.561,13763.014,48947.811,11135.866,2340.231,9138.261,21822.502,35417.356,56886.675,3910.785,96.514,393.002,667.25,95249.054,9067.845,85427.209,312783.749,35816.36,39664.529,43020.953,4486.453,22869.944,37054.612,27469.896,19880.73,6610.903,2216.933,26246.518,3370.85,1806.099,7725.103,82569.581,3305.738,4349.244,15916.647,39097.342,6165.091,6423.538,1317.845,1317.845,2338.807,7200.392,2447.893,780.739,1173989.51,Perio
6458.347,2670.814,3718.545,19679.67,1567.017,4.386,444.888,25206.875,41810.847,37.974,24116.016,23225.346,44.939,8085.62,38880.461,1710.736,1131.983,10911.074,13471.086,97325.201,1422.632,125859.1,21485.968,2338.43,2338.43,30491.345,2411.36,3.384,434.443,40106.035,5720.276,926.067,2889.825,115.95,175385.682,366.299,7064.685,18066.824,700.012,21037.697,126956.684,2022.783,3677.114,21154.326,5778.381,1145.827,6732.45,11328.722,17604.515,29475.027,2527.157,85.096,295.283,102.786,45159.42,3825.593,40730.604,146300.159,20086.98,21625.376,12451.571,2634.376,12908.129,20252.058,11767.828,9671.762,3128.678,1132.331,10232.211,1322.513,878.554,1754.346,46147.675,1737.477,1518.196,10811.229,21590.078,3479.14,2492.906,979.026,984.773,1453.109,5080.532,1542.053,373.11,584592.88,Perio
7901.608,2540.248,5531.893,21096.623,1969.153,80.868,874.038,23151.564,51248.301,50.658,22122.635,20689.798,104.619,9107.082,49236.946,2155.349,1569.996,16068.689,15350.872,108761.425,2297.796,118246.157,22900.883,2928.133,2928.133,35118.913,3012.561,15.152,524.445,49760.727,10696.372,970.49,2845.472,257.189,210409.085,651.385,7961.945,18832.577,618.075,18266.811,151670.596,3611.438,6032.642,36342.287,6776.594,1073.362,4549.737,11396.209,21551.032,35710.524,2529.714,201.106,537.356,387.352,59230.862,9247.599,48791.348,186477.854,20965.542,24162.055,19180.438,2864.744,14302.889,20302.126,16620.646,12727.516,3207.208,1390.929,14019.306,1446.05,1887.624,4575.938,46619.606,1805.053,2310.057,9031.522,24002.476,2717.382,2920.135,1292.789,1304.501,1537.254,3234.928,2172.302,889.233,688754.163,Perio
2757.034,986.104,1748.304,8173.899,707.69,4.189,353.515,8677.871,18691.658,35.469,10629.778,8655.763,85.281,3909.985,19391.322,532.797,646.291,6707.029,5860.048,44111.094,887.948,50792.898,8928.96,1204.178,1204.178,14413.775,1229.816,20.22,141.213,20423.854,3828.127,369.956,1163.976,109.698,83736.564,198.856,3222.055,7242.706,266.148,7624.741,60639.292,1232.114,2407.134,12796.308,2667.151,518.506,2896.353,5220.296,8494.381,14146.344,1176.493,57.674,124.278,116.906,24549.623,4398.001,19246.387,74299.839,8795.645,9633.142,8292.446,1095.655,5832.631,8435.281,6455.34,5383.18,1513.493,605.559,6270.742,662.424,1111.723,1499.211,19168.211,834.674,873.442,4134.265,9680.523,1530.123,1098.312,299.284,305.852,657.016,2250.085,913.618,451.321,278471.006,Perio
12559.274,3494.196,6479.227,32517.932,3085.302,15.351,835.589,42752.759,64830.805,55.695,38828.801,38893.313,141.864,13881.672,66805.411,1938.617,1378.747,18091.071,21106.318,163211.34,2413.447,196532.823,35635.673,4700.553,4700.553,47878.123,4805.201,0.0,477.733,70294.353,13471.475,877.664,5552.033,144.306,286684.876,772.094,10616.612,30890.496,1048.568,30195.555,209599.249,3761.966,9450.01,38343.649,9080.443,1927.539,9101.704,17033.968,28864.415,45716.197,3341.473,113.301,424.601,186.65,69062.822,6622.684,61849.666,245082.636,29336.399,33876.95,28922.119,3746.909,18867.907,30357.741,20884.648,15970.325,5613.571,1903.624,18347.967,2735.09,1336.626,4282.862,72510.083,2636.95,2736.483,14137.032,33968.299,4436.531,4094.917,1111.789,1113.431,2038.045,7729.197,2543.456,639.008,951099.769,Perio
7959.785,2151.598,3712.662,17000.294,1263.059,19.737,452.409,19837.755,36054.871,20.292,19188.291,17963.145,35.103,6695.687,36329.619,1168.974,846.588,10199.409,11422.819,82276.923,1384.988,97957.815,18151.124,2519.945,2519.945,25240.876,2574.841,6.734,388.214,35677.829,4861.77,739.162,2348.548,39.545,152529.753,462.356,5753.219,14372.391,427.027,16348.953,110795.424,1840.899,4686.65,18991.959,4252.833,1078.2,4362.451,8500.073,13809.706,25548.632,1638.356,75.795,252.911,135.195,35038.173,3440.944,31366.454,125945.723,15777.484,17805.201,13561.254,1883.612,9337.881,15913.046,10550.892,8295.99,2823.025,1089.417,8366.284,1523.687,730.815,3306.049,36230.711,1470.759,1426.676,6911.305,17749.188,2193.993,1892.896,664.378,672.238,1019.674,2833.154,1217.312,328.336,489128.285,Perio
9405.265,2501.468,3737.788,19447.31,2340.172,21.93,496.736,24709.903,38134.885,20.292,23924.417,23686.928,62.15,8745.53,43628.652,1338.058,779.145,12192.193,13431.612,104234.922,1309.585,125362.722,21303.837,3248.263,3248.263,29030.402,3249.145,0.0,449.597,42186.84,6228.078,824.237,3086.022,136.932,179390.372,500.963,6821.233,18369.476,573.201,21212.377,130522.372,2037.062,6696.413,22654.114,4679.898,1481.525,7043.567,11953.288,17809.097,29930.808,2309.827,47.468,109.85,241.824,43461.552,2046.124,41680.745,150057.808,19564.514,21263.841,18878.083,2153.327,12455.17,18871.387,11287.934,10160.735,3845.031,1388.252,10503.841,1698.475,407.829,3479.911,43016.565,2244.888,1708.666,9293.456,21522.33,3602.2,2429.088,775.649,777.291,1089.996,4749.342,1423.078,307.647,592927.587,Perio
8245.763,2190.737,3452.807,18085.848,1879.763,2.193,532.891,22795.433,37354.078,0.0,20930.599,20287.232,22.441,7798.282,37902.128,1458.617,861.449,9074.14,11723.582,89327.122,1265.741,108140.406,19579.285,2201.214,2201.214,26729.35,2213.405,0.0,410.217,38437.744,5549.387,645.841,2675.935,56.724,161122.609,532.227,6066.538,16277.338,551.442,17947.899,118352.345,2221.339,4943.46,17499.069,4059.163,1123.077,4479.503,8771.915,14529.696,27058.782,1557.562,49.955,115.849,129.852,36519.588,1602.197,35152.175,127043.062,17443.799,19467.296,15067.906,1829.772,10307.647,16614.844,11302.626,9582.255,3747.321,990.135,8808.222,1540.019,263.868,3481.226,36673.164,1477.138,1530.79,8907.119,18269.925,2417.902,1812.441,846.265,851.191,1116.997,2961.595,1054.453,181.294,516821.317,Perio
3134.254,1097.145,1997.705,10607.051,935.295,5.347,204.059,10972.768,19154.16,25.317,10570.972,10418.664,56.51,4160.987,19683.363,598.282,516.562,5849.884,6247.476,45403.09,764.676,55698.147,9898.454,1234.518,1234.518,14988.966,1282.464,0.0,139.686,21818.826,3813.126,322.636,1391.539,61.128,88749.261,175.19,3370.087,8567.393,298.532,8282.905,65093.685,1089.92,2301.577,11038.908,2477.304,591.888,3075.791,5804.336,8288.347,14227.857,1163.059,43.538,87.588,64.105,23548.455,2774.656,20240.744,72785.693,9199.074,10036.168,7859.715,1030.921,5592.927,9199.942,6204.508,4363.074,1748.091,584.489,5839.243,799.145,680.312,1329.49,20300.879,977.917,851.479,4783.33,10126.809,1613.296,1188.709,321.702,330.854,675.558,2254.244,912.875,275.761,285230.831,Perio
7698.067,1616.763,2773.918,14448.323,1244.973,5.876,275.452,16657.26,24917.537,2.532,14440.392,15197.84,24.657,4683.453,28914.208,686.537,471.175,7443.879,8301.4,65218.212,757.808,76819.366,13904.911,1890.165,1890.165,18710.658,1896.537,0.0,290.086,29898.172,4082.858,719.673,2107.511,19.036,120363.627,287.371,4495.924,10923.026,331.598,13120.499,89833.905,1238.292,4030.273,14539.804,3683.357,802.838,3791.438,8110.908,10403.916,19142.024,1622.71,61.604,97.753,49.816,26343.898,1631.148,24784.234,100498.366,12921.641,13997.162,11113.197,1688.487,7006.145,13038.911,8123.754,6107.181,2573.011,830.938,6472.418,1378.922,285.717,2193.211,30795.13,1184.354,1076.885,5752.672,13870.904,2418.572,1343.846,375.697,376.518,869.997,2563.815,1198.223,207.636,385070.846,Perio
11645.487,3326.793,5420.997,33329.399,4680.681,31.989,308.36,39092.76,64404.516,2.544,39316.236,34633.419,2.315,13629.904,63081.594,1406.504,1005.043,13831.152,20212.086,150646.117,2056.713,182387.185,33541.921,3687.516,3687.516,47624.536,3692.194,0.0,365.273,72584.927,15046.874,824.065,5756.793,13.614,283650.843,850.112,11264.089,28807.397,1023.584,28344.383,209762.607,3764.836,9946.131,31463.035,7751.133,2190.95,4373.498,17133.819,26741.95,44640.872,3266.812,6.229,251.673,91.783,70256.812,3583.579,66189.342,235236.392,32366.049,36432.757,30821.559,3331.312,17648.532,30002.404,20797.786,14669.288,6794.972,1716.606,19065.659,2744.11,955.291,5574.373,70871.143,2772.087,2584.444,13699.556,32675.779,4230.755,2855.572,753.97,753.881,2061.602,6216.761,2533.688,379.005,922698.437,Caries
10563.73,2992.151,5054.09,24678.881,2371.051,164.029,795.136,30876.551,54928.108,48.102,29487.479,28330.082,73.412,10669.451,54946.65,2203.184,1350.081,15320.812,17228.64,130680.812,1963.835,153425.588,27138.088,3222.427,3222.427,39399.527,3342.723,0.0,385.817,54499.66,10412.678,960.862,3910.068,350.567,234540.02,679.879,9371.65,22137.71,783.999,25326.378,171072.358,3087.55,7285.36,33248.145,6707.082,1538.077,7550.279,13608.148,23055.554,40551.311,2969.169,112.409,336.37,488.276,59378.356,4340.859,54936.385,195340.98,23237.837,26002.036,24828.753,2910.667,15672.159,23030.135,16443.724,13191.483,4145.689,1573.942,15181.13,1910.755,899.794,5038.448,52910.017,2288.087,2346.714,12054.264,26023.393,3794.695,3901.194,1270.631,1246.093,1837.246,4722.97,1706.851,475.099,766122.991,Caries
2469.359,685.738,1172.373,4331.415,179.997,0.0,208.22,7576.439,11369.551,2.544,5843.969,7003.345,19.487,1903.337,11427.612,533.046,280.795,2737.009,3369.62,27423.894,364.548,33749.191,5825.412,931.028,931.028,7313.229,932.716,0.0,117.685,8995.806,663.359,293.322,947.712,22.568,44805.86,118.525,1952.219,4433.119,131.664,5722.671,31563.58,400.623,1426.703,4778.781,1390.786,376.114,2097.312,2920.303,4865.885,8345.439,495.674,53.395,22.491,22.381,9534.55,551.26,9138.13,37460.691,5073.852,5497.491,2486.857,672.056,3661.589,5013.049,3117.088,2924.82,1117.609,354.8,2038.713,504.606,62.257,1075.196,11841.654,485.242,500.003,2435.859,5648.886,1029.192,608.062,313.823,314.644,330.985,1061.461,233.143,50.494,149666.775,Caries
5851.821,1687.69,2625.732,14642.54,1088.139,0.0,349.511,17226.21,27241.363,15.273,17339.711,16001.721,74.95,6012.208,28727.439,893.759,630.443,8272.371,8899.86,69918.304,994.697,86698.829,14674.873,1934.752,1934.752,20487.561,1942.918,10.102,332.607,30262.548,4650.658,570.869,2188.084,45.275,125257.807,274.285,4444.651,12392.91,423.316,14155.359,92517.713,1439.985,3913.736,15758.512,3670.531,951.425,4591.378,7844.886,12331.225,20814.01,1764.473,52.468,142.103,82.644,31929.528,2835.075,28693.511,105787.954,14149.386,15611.254,12233.977,1659.276,8693.414,13685.3,8562.484,6830.014,2867.953,978.094,7662.44,1170.036,719.573,1807.731,30802.564,1398.591,1276.287,6816.459,15380.884,2378.566,1662.172,494.428,511.319,790.622,3311.277,1160.127,321.414,415214.471,Caries
7094.278,1754.964,3189.366,13177.665,2063.766,22.153,672.071,18550.459,31820.714,15.243,18013.619,16342.348,19.336,6463.921,33626.443,1138.786,674.908,9297.379,10594.83,79987.817,1097.651,90891.375,16249.69,1928.503,1928.503,22765.497,1983.326,0.0,358.141,33962.901,6348.527,747.083,2198.682,137.698,140007.661,527.879,5615.723,13134.832,406.022,16242.149,102370.581,1990.302,5140.585,18605.433,3707.445,1145.433,3360.295,6933.493,13330.278,25137.397,1417.155,204.067,216.673,196.706,37788.124,2451.814,35442.679,118321.112,14789.652,16477.088,12175.967,1630.878,8957.573,13261.015,11216.272,8834.327,2636.054,940.741,9646.348,1424.579,356.309,4228.758,29899.348,1341.439,1367.532,6659.99,15945.214,1899.581,2435.14,722.65,722.65,1035.239,2484.416,919.32,220.748,463011.615,Caries
5249.634,1457.974,2500.769,10707.388,744.807,48.246,693.144,17396.711,26574.828,0.0,14408.751,16441.646,13.123,5227.299,28585.136,1282.869,729.622,7864.399,9441.82,66841.696,1308.586,77278.319,13656.987,1762.827,1762.827,18155.472,1779.332,3.384,198.272,24527.141,5188.325,419.146,2287.833,477.534,110123.577,199.593,4352.163,10345.173,296.999,11901.766,78276.082,1586.98,3473.643,15508.539,3158.636,735.994,5501.523,6361.042,11014.342,18294.829,1377.945,98.598,129.743,343.424,27907.606,2404.478,25805.64,88729.523,10058.095,11351.121,17043.957,1298.729,7139.595,10240.192,7907.214,8013.178,1576.712,724.017,6896.424,832.968,277.146,2335.3,21801.594,874.262,1376.756,5538.284,12273.495,1987.128,1947.12,735.848,735.848,891.388,2479.167,598.924,222.408,365072.767,Caries
6379.398,1829.885,3201.446,17386.153,2261.338,9.028,303.882,26489.874,32374.906,0.0,22565.216,24970.436,35.332,7793.324,35947.221,927.653,524.103,9070.238,11029.769,92619.435,1043.775,115885.203,20548.109,2133.73,2133.73,24304.474,2138.128,0.0,343.141,36953.208,7082.845,549.239,3694.238,19.336,152439.142,312.985,6163.615,16368.66,801.67,18042.672,109455.52,1957.462,5001.654,18069.651,4531.429,1164.964,6046.067,11755.298,15067.133,23345.952,2215.079,27.486,105.356,47.646,39478.079,1077.553,38361.885,138088.378,19593.777,21279.043,12254.022,2057.353,10460.792,19013.34,11842.506,8936.15,3321.452,1013.137,10425.67,1505.073,193.475,2202.168,44564.26,1543.314,1461.621,7783.635,18638.039,3569.686,2001.036,510.209,511.501,1263.247,4575.844,1394.055,161.652,527347.306,Caries
7920.31,2773.109,4087.668,22903.76,2417.854,30.111,450.362,30097.154,45172.223,30.444,27381.88,28532.176,39.406,9922.842,46845.372,1484.055,877.877,10964.764,14452.916,111322.456,1477.311,144077.13,23958.248,3070.161,3070.161,33498.824,3079.863,0.0,487.694,45741.371,7207.87,750.985,4105.501,93.772,198954.984,457.042,7719.487,20808.805,826.125,22173.74,142764.054,2207.393,5408.515,20349.284,5793.981,1572.667,8097.411,13386.342,19547.874,32342.884,2321.901,74.318,117.399,135.572,47538.612,2121.565,45332.608,160820.257,22787.729,25455.324,18424.434,2608.64,13842.455,21455.822,14103.032,9905.067,4463.246,1310.257,11727.871,1867.516,527.047,3406.927,48858.819,2116.173,2013.697,11287.431,24739.626,4257.896,2635.534,877.085,881.311,1523.833,5628.283,1545.874,292.286,652270.34,Caries
5267.744,1523.238,2251.526,12730.162,956.759,23.485,336.163,14305.28,24572.404,65.823,13420.836,13164.627,38.752,5193.985,24940.263,1032.928,637.432,7599.082,7850.908,58666.964,839.171,71987.211,12671.956,1523.416,1523.416,19035.785,1551.446,20.288,188.304,26238.618,4168.858,490.039,1654.331,86.272,110179.08,264.547,4235.695,10852.859,428.921,11307.221,82402.607,1234.374,3061.47,14757.99,2986.057,669.091,3696.522,6572.84,9669.06,18344.028,1569.594,53.357,98.677,85.351,26887.535,2226.135,24316.358,91845.675,11437.11,12860.289,9450.729,1327.441,6615.277,11778.452,7209.744,6141.539,2310.677,669.465,6969.652,855.132,599.601,1563.221,27093.166,1032.357,970.294,5108.684,12706.535,1955.992,1409.977,589.522,522.071,791.027,2628.219,910.486,225.5,356285.576,Caries
10517.701,3237.639,4983.94,28891.643,3043.17,11.67,336.192,37940.723,55837.35,17.811,34033.493,34894.424,27.764,13169.372,55933.245,1550.33,889.987,13899.696,17712.64,136731.447,1771.688,176093.249,29699.76,3832.867,3832.867,41842.01,3834.093,8.46,472.833,56012.788,8487.178,952.175,5499.201,41.186,244499.962,513.357,9754.982,25512.146,889.586,27022.617,178581.875,2586.607,7902.387,25906.695,6332.641,1666.596,7976.739,15700.49,24269.885,41426.039,3164.765,9.597,222.855,115.122,58268.98,1986.517,56423.42,203476.525,28691.787,31425.622,22450.467,2899.076,17348.173,27759.186,16683.282,13297.016,5389.442,1549.627,13920.019,2207.899,509.954,4170.093,64761.835,2430.149,2477.671,12990.732,28855.509,4552.687,3353.418,905.229,894.534,1784.817,5637.856,2153.47,306.647,805058.103,Caries
